id,term,translation,example_sentence,hint,topic,language
1,une pomme,яблоко,Je mange une pomme.,"круглый фрукт, часто красный",FOOD,FR
2,du pain,хлеб,J’achète du pain.,продукт из теста,FOOD,FR
3,du fromage,сыр,Le fromage est délicieux.,молочный продукт,FOOD,FR
4,du lait,молоко,Je bois du lait.,белая жидкость,FOOD,FR
5,un œuf,яйцо,Je cuisine un œuf.,продукт птицы,FOOD,FR
6,du riz,рис,Nous mangeons du riz.,зерновой продукт,FOOD,FR
7,des pâtes,макароны,Il aime les pâtes.,изделия из теста,FOOD,FR
8,du poulet,курица,Le poulet est prêt.,мясо птицы,FOOD,FR
9,du bœuf,говядина,Le bœuf est tendre.,мясо коровы,FOOD,FR
10,du poisson,рыба,Je mange du poisson.,еда из водных животных,FOOD,FR
11,une carotte,морковь,Le lapin mange une carotte.,оранжевый овощ,FOOD,FR
12,une pomme de terre,картофель,Je coupe une pomme de terre.,крахмалистый овощ,FOOD,FR
13,une tomate,помидор,La tomate est rouge.,сочный овощ,FOOD,FR
14,un oignon,лук,Je coupe un oignon.,острый овощ,FOOD,FR
15,une banane,банан,Elle mange une banane.,длинный жёлтый фрукт,FOOD,FR
16,une orange,апельсин,Il pèle une orange.,цитрусовый фрукт,FOOD,FR
17,du beurre,сливочное масло,J’ajoute du beurre.,молочный жир,FOOD,FR
18,un chat,кошка,Le chat dort.,домашнее животное,ANIMALS,FR
19,un chien,собака,Le chien court.,верный питомец,ANIMALS,FR
20,un cheval,лошадь,Le cheval galope.,животное для езды,ANIMALS,FR
21,une vache,корова,La vache mange.,даёт молоко,ANIMALS,FR
22,un mouton,овца,Le mouton est blanc.,даёт шерсть,ANIMALS,FR
23,un cochon,свинья,Le cochon est dans la ferme.,сельхоз животное,ANIMALS,FR
24,un lapin,кролик,Le lapin saute.,маленький зверёк,ANIMALS,FR
25,une souris,мышь,La souris court.,маленький грызун,ANIMALS,FR
26,un lion,лев,Le lion rugit.,хищник,ANIMALS,FR
27,un tigre,тигр,Le tigre chasse.,полосатый хищник,ANIMALS,FR
28,un éléphant,слон,L’éléphant est grand.,крупное животное,ANIMALS,FR
29,un ours,медведь,L’ours dort.,крупный лесной зверь,ANIMALS,FR
30,un loup,волк,Le loup hurle.,дикий хищник,ANIMALS,FR
31,un renard,лиса,Le renard est rusé.,хитрый зверь,ANIMALS,FR
32,un cerf,олень,Le cerf court.,лесное животное,ANIMALS,FR
33,un singe,обезьяна,Le singe grimpe.,похож на человека,ANIMALS,FR
34,un oiseau,птица,L’oiseau vole.,имеет крылья,ANIMALS,FR
35,une table,стол,La table est grande.,мебель,OBJECTS,FR
36,une chaise,стул,Je m’assois sur la chaise.,предмет для сидения,OBJECTS,FR
